1970-01-07T22:56:58.837028900Z | WARNING  | SystemModule | Low disk space warning || disk_space=500MB
1970-01-07T22:56:58.840804500Z | ERROR    | DatabaseModule | Database connection failed || error=Timeout
1970-01-07T22:56:58.842564600Z | CRITICAL | SystemModule | Application crashed due to memory overflow || memory=Out of memory
1970-01-07T23:12:10.084034400Z | WARNING  | SystemModule | Low disk space warning || disk_space=500MB
1970-01-07T23:12:10.136967300Z | ERROR    | DatabaseModule | Database connection failed || error=Timeout
1970-01-07T23:12:10.140072300Z | CRITICAL | SystemModule | Application crashed due to memory overflow || memory=Out of memory
1970-01-07T23:15:09.950466400Z | WARNING  | SystemModule | Low disk space warning || disk_space=500MB
1970-01-07T23:15:09.953469300Z | ERROR    | DatabaseModule | Database connection failed || error=Timeout
1970-01-07T23:15:09.955072200Z | CRITICAL | SystemModule | Application crashed due to memory overflow || memory=Out of memory
1970-01-07T23:15:24.453023900Z | WARNING  | SystemModule | Low disk space warning || disk_space=500MB
1970-01-07T23:15:24.455890800Z | ERROR    | DatabaseModule | Database connection failed || error=Timeout
1970-01-07T23:15:24.457537600Z | CRITICAL | SystemModule | Application crashed due to memory overflow || memory=Out of memory
